Beam,eps_true,Method,eps_hat,Error_m
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.01526 0.01526],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.01526 0.01526],EKF-1step,[-0.01545 0.01562],0.000401799721650885
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.01526 0.01526],GaussNewton,[-0.01526 0.01526],3.5762240613455e-17
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.01526 0.01526],Lookup,[-0.01595 0.01512],0.000701440486682832
"Sidelobed (sinc^2, \phi=30^\circ)",[0.06475 0],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[0.06475 0],EKF-1step,[0.06791 -1.556e-05],0.0031565092615286
"Sidelobed (sinc^2, \phi=30^\circ)",[0.06475 0],GaussNewton,[0.06475 2.522e-17],2.87897019869425e-17
"Sidelobed (sinc^2, \phi=30^\circ)",[0.06475 0],Lookup,[0.0638 0],0.000952235618417979
"Sidelobed (sinc^2, \phi=30^\circ)",[0.04579 0.04579],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[0.04579 0.04579],EKF-1step,[0.04916 0.04793],0.00399582307437961
"Sidelobed (sinc^2, \phi=30^\circ)",[0.04579 0.04579],GaussNewton,[0.04579 0.04579],2.87273559724861e-16
"Sidelobed (sinc^2, \phi=30^\circ)",[0.04579 0.04579],Lookup,[0.04386 0.04537],0.00196825040650301
"Sidelobed (sinc^2, \phi=30^\circ)",[3.965e-18 0.06475],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[3.965e-18 0.06475],EKF-1step,[-0.003726 0.07365],0.00964446599943901
"Sidelobed (sinc^2, \phi=30^\circ)",[3.965e-18 0.06475],GaussNewton,[2.618e-17 0.06475],1.13222473466318e-16
"Sidelobed (sinc^2, \phi=30^\circ)",[3.965e-18 0.06475],Lookup,[0 0.06352],0.00123038226977645
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.04579 0.04579],Direct,[NaN NaN],NaN
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.04579 0.04579],EKF-1step,[-0.05195 0.05864],0.0142582513387455
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.04579 0.04579],GaussNewton,[-0.04579 0.04579],2.5018537765542e-17
"Sidelobed (sinc^2, \phi=30^\circ)",[-0.04579 0.04579],Lookup,[-0.04785 0.04537],0.0021043214600485
"Sidelobed (sinc^2, \phi=30^\circ)",[0.1079 0],Direct,[NaN NaN],NaN
